e,0.12492062534197067
t,0.0927556484289489
a,0.08040605150731232
o,0.076406929387264
i,0.07569277540220806
n,0.07233629221774214
s,0.06512766562623011
r,0.06279420706085999
h,0.05053301406632262
l,0.0406898604777074
d,0.038169582783224694
c,0.03343773688810862
u,0.02729701843405106
m,0.02511760599410516
f,0.02403123383775965
p,0.02135891018410595
g,0.018693758446142437
w,0.01675664190911723
y,0.016649800974448417
b,0.014846487698236691
v,0.01053251617932296
k,0.00540513489633885
x,0.002348568874531159
j,0.0015877372404490017
q,0.0012046892068254826
z,0.0008995069366664322
